Date,Close/Last,Volume,Open,High,Low,Name
2023-03-09,81.59,24900.0,82.62,84.01,81.41,Brent Crude Oil
2023-03-08,82.66,23331.0,82.98,83.59,82.05,Brent Crude Oil
2023-03-07,83.29,24281.0,86.23,86.76,82.65,Brent Crude Oil
2023-03-06,86.18,22629.0,85.93,86.36,84.35,Brent Crude Oil
2023-03-03,85.83,27206.0,84.41,86.0,82.36,Brent Crude Oil
2023-03-02,84.75,17254.0,84.31,85.09,83.84,Brent Crude Oil
2023-03-01,84.31,23652.0,83.1,84.49,82.61,Brent Crude Oil
2023-02-28,83.89,256.0,82.64,84.12,82.61,Brent Crude Oil
2023-02-27,82.45,4537.0,83.12,83.63,81.74,Brent Crude Oil
2023-02-24,83.16,9333.0,82.35,83.38,81.07,Brent Crude Oil
2023-02-23,82.21,12506.0,80.47,82.75,80.34,Brent Crude Oil
2023-02-22,80.6,17792.0,82.74,83.23,80.4,Brent Crude Oil
2023-02-21,83.05,28729.0,83.01,84.29,82.54,Brent Crude Oil
2023-02-17,83.0,26352.0,84.67,84.85,81.79,Brent Crude Oil
2023-02-16,85.14,19454.0,85.14,86.2,84.6,Brent Crude Oil
2023-02-15,85.38,20189.0,85.29,85.85,83.9,Brent Crude Oil
2023-02-14,85.58,19172.0,85.75,86.4,84.12,Brent Crude Oil
2023-02-13,86.61,18340.0,86.6,86.95,85.09,Brent Crude Oil
2023-02-10,86.39,29539.0,84.23,86.91,83.94,Brent Crude Oil
2023-02-09,84.5,28819.0,85.07,85.5,83.06,Brent Crude Oil
2023-02-08,85.09,27763.0,84.03,85.16,83.5,Brent Crude Oil
2023-02-07,83.69,23798.0,81.4,84.1,81.18,Brent Crude Oil
2023-02-06,80.99,30311.0,79.75,81.4,79.09,Brent Crude Oil
2023-02-03,79.94,24117.0,82.15,84.19,79.62,Brent Crude Oil
2023-02-02,82.17,23742.0,83.09,83.6,81.24,Brent Crude Oil
2023-02-01,82.84,26357.0,85.52,86.2,82.37,Brent Crude Oil
2023-01-31,84.49,196.0,85.16,85.16,83.69,Brent Crude Oil
2023-01-30,84.9,4091.0,86.8,87.37,84.75,Brent Crude Oil
2023-01-27,86.66,8503.0,87.6,88.91,85.68,Brent Crude Oil
2023-01-26,87.47,11798.0,86.13,88.01,85.78,Brent Crude Oil
2023-01-25,86.12,18662.0,86.3,87.01,85.41,Brent Crude Oil
2023-01-24,86.13,22793.0,88.03,88.71,85.81,Brent Crude Oil
2023-01-23,88.19,19824.0,87.81,89.1,86.93,Brent Crude Oil
2023-01-20,87.63,21840.0,86.36,87.77,85.58,Brent Crude Oil
2023-01-19,86.16,27460.0,84.59,86.85,83.74,Brent Crude Oil
2023-01-18,84.98,25148.0,86.72,87.84,84.4,Brent Crude Oil
2023-01-17,85.92,35074.0,85.44,86.82,83.86,Brent Crude Oil
2023-01-13,85.28,17524.0,83.95,85.49,83.49,Brent Crude Oil
2023-01-12,84.03,27886.0,82.86,84.61,82.38,Brent Crude Oil
2023-01-11,82.67,28329.0,79.59,82.97,79.3,Brent Crude Oil
2023-01-10,80.1,20704.0,79.71,80.88,78.81,Brent Crude Oil
2023-01-09,79.65,29379.0,78.48,81.37,78.34,Brent Crude Oil
2023-01-06,78.57,23089.0,78.81,80.57,78.05,Brent Crude Oil
2023-01-05,78.69,27406.0,78.09,79.96,77.61,Brent Crude Oil
2023-01-04,77.84,24022.0,82.23,82.67,77.72,Brent Crude Oil
2023-01-03,82.1,26661.0,86.04,87.02,81.77,Brent Crude Oil
2022-12-30,85.91,18860.0,83.66,86.28,82.88,Brent Crude Oil
2022-12-29,82.26,218.0,82.86,82.91,81.3,Brent Crude Oil
2022-12-28,83.26,3876.0,84.6,84.64,81.95,Brent Crude Oil
2022-12-27,84.33,6330.0,84.46,85.67,83.66,Brent Crude Oil
2022-12-23,83.92,7082.0,81.73,84.37,81.34,Brent Crude Oil
2022-12-22,80.98,15132.0,82.37,83.86,80.68,Brent Crude Oil
2022-12-21,82.2,16882.0,79.95,82.54,79.6,Brent Crude Oil
2022-12-20,79.99,17498.0,80.28,80.9,78.3,Brent Crude Oil
2022-12-19,79.8,18597.0,79.09,80.89,78.63,Brent Crude Oil
2022-12-16,79.04,23738.0,81.34,81.76,78.28,Brent Crude Oil
2022-12-15,81.21,25021.0,82.84,83.19,80.83,Brent Crude Oil
2022-12-14,82.7,25822.0,80.34,83.14,80.13,Brent Crude Oil
2022-12-13,80.68,29045.0,78.19,81.28,78.04,Brent Crude Oil
2022-12-12,77.99,22107.0,76.67,78.58,75.26,Brent Crude Oil
2022-12-09,76.1,22942.0,76.73,77.47,75.11,Brent Crude Oil
2022-12-08,76.15,32814.0,77.49,79.18,75.76,Brent Crude Oil
2022-12-07,77.17,26130.0,79.79,80.48,76.94,Brent Crude Oil
2022-12-06,79.35,25858.0,83.09,83.67,78.71,Brent Crude Oil
2022-12-05,82.68,24437.0,85.52,88.43,82.54,Brent Crude Oil
2022-12-02,85.57,22186.0,87.13,87.89,85.19,Brent Crude Oil
2022-12-01,86.88,21995.0,86.6,89.41,86.25,Brent Crude Oil
2022-11-30,85.43,379.0,83.58,85.82,83.51,Brent Crude Oil
2022-11-29,83.03,10131.0,82.33,84.42,82.79,Brent Crude Oil
2022-11-28,83.19,11387.0,83.8,84.05,82.22,Brent Crude Oil
2022-11-25,83.63,10727.0,84.94,86.9,83.56,Brent Crude Oil
2022-11-23,85.41,26365.0,88.41,89.54,84.12,Brent Crude Oil
2022-11-22,88.36,22042.0,87.65,89.88,87.37,Brent Crude Oil
2022-11-21,87.45,39326.0,87.8,87.75,84.93,Brent Crude Oil
