Date,Close/Last,Volume,Open,High,Low,Name
2023-03-09,75.72,323452.0,76.5,78.06,75.43,WTI Crude Oil
2023-03-08,76.66,312187.0,77.32,77.73,76.11,WTI Crude Oil
2023-03-07,77.58,370120.0,80.5,80.94,77.06,WTI Crude Oil
2023-03-06,80.46,279564.0,79.92,80.63,78.32,WTI Crude Oil
2023-03-03,79.68,357286.0,77.89,79.9,75.83,WTI Crude Oil
2023-03-02,78.16,242223.0,77.74,78.59,77.23,WTI Crude Oil
2023-03-01,77.69,321007.0,76.85,77.85,76.12,WTI Crude Oil
2023-02-28,77.05,284234.0,75.76,77.83,75.55,WTI Crude Oil
2023-02-27,75.68,253577.0,76.42,76.82,74.99,WTI Crude Oil
2023-02-24,76.32,313042.0,75.6,76.63,74.09,WTI Crude Oil
2023-02-23,75.39,317687.0,73.92,75.99,73.83,WTI Crude Oil
2023-02-22,73.95,309403.0,76.11,76.55,73.8,WTI Crude Oil
2023-02-21,76.16,20074.0,76.53,77.51,75.69,WTI Crude Oil
2023-02-17,76.34,66661.0,78.07,78.25,75.06,WTI Crude Oil
2023-02-16,78.49,101595.0,78.54,79.54,77.92,WTI Crude Oil
2023-02-15,78.59,240477.0,78.83,79.15,77.25,WTI Crude Oil
2023-02-14,79.06,279792.0,79.06,79.61,77.46,WTI Crude Oil
2023-02-13,80.14,271983.0,79.94,80.62,78.45,WTI Crude Oil
2023-02-10,79.72,316761.0,77.68,80.33,77.47,WTI Crude Oil
2023-02-09,78.06,296432.0,78.45,78.84,76.52,WTI Crude Oil
2023-02-08,78.47,322540.0,77.49,78.57,77.08,WTI Crude Oil
2023-02-07,77.14,369787.0,74.57,77.6,74.35,WTI Crude Oil
2023-02-06,74.11,361642.0,73.23,74.51,72.25,WTI Crude Oil
2023-02-03,73.39,394327.0,75.92,78.0,73.1,WTI Crude Oil
2023-02-02,75.88,318489.0,76.79,77.24,74.97,WTI Crude Oil
2023-02-01,76.41,335699.0,79.06,79.73,76.05,WTI Crude Oil
2023-01-31,78.87,292507.0,77.91,79.25,76.55,WTI Crude Oil
2023-01-30,77.9,308615.0,80.04,80.49,77.66,WTI Crude Oil
2023-01-27,79.68,349036.0,81.22,82.48,79.04,WTI Crude Oil
2023-01-26,81.01,276005.0,80.48,82.14,79.92,WTI Crude Oil
2023-01-25,80.15,284027.0,80.26,81.23,79.45,WTI Crude Oil
2023-01-24,80.13,269259.0,81.62,82.22,79.66,WTI Crude Oil
2023-01-23,81.62,280555.0,81.79,82.64,81.05,WTI Crude Oil
2023-01-20,81.31,13742.0,80.6,81.64,79.69,WTI Crude Oil
2023-01-19,80.33,33183.0,79.14,81.18,78.13,WTI Crude Oil
2023-01-18,79.48,73990.0,80.97,82.38,78.94,WTI Crude Oil
2023-01-17,80.18,284009.0,80.1,81.23,78.53,WTI Crude Oil
2023-01-13,79.86,245935.0,78.32,80.11,77.97,WTI Crude Oil
2023-01-12,78.39,276160.0,77.7,79.16,77.1,WTI Crude Oil
2023-01-11,77.41,320030.0,74.78,77.84,74.31,WTI Crude Oil
2023-01-10,75.12,275105.0,74.86,75.92,73.84,WTI Crude Oil
2023-01-09,74.63,297210.0,73.47,76.74,73.47,WTI Crude Oil
2023-01-06,73.77,236880.0,73.97,75.47,73.24,WTI Crude Oil
2023-01-05,73.67,281301.0,73.25,74.92,72.46,WTI Crude Oil
2023-01-04,72.84,330637.0,77.25,77.42,72.73,WTI Crude Oil
2023-01-03,76.93,322245.0,80.57,81.5,76.6,WTI Crude Oil
2022-12-30,80.26,191002.0,78.73,80.67,77.71,WTI Crude Oil
2022-12-29,78.4,184947.0,78.82,78.82,76.79,WTI Crude Oil
2022-12-28,78.96,194273.0,79.89,79.92,77.3,WTI Crude Oil
2022-12-27,79.53,186518.0,79.9,81.18,79.16,WTI Crude Oil
2022-12-23,79.56,219020.0,78.18,80.33,77.98,WTI Crude Oil
2022-12-22,77.49,199277.0,78.43,79.9,77.03,WTI Crude Oil
2022-12-21,78.29,222936.0,75.99,78.61,75.8,WTI Crude Oil
2022-12-20,76.09,13534.0,75.7,76.75,74.31,WTI Crude Oil
2022-12-19,75.19,37990.0,74.5,76.41,73.81,WTI Crude Oil
2022-12-16,74.29,81668.0,76.37,76.57,73.33,WTI Crude Oil
2022-12-15,76.11,205243.0,77.37,77.77,75.33,WTI Crude Oil
2022-12-14,77.28,267021.0,75.27,77.75,74.9,WTI Crude Oil
2022-12-13,75.39,322478.0,73.29,76.37,73.21,WTI Crude Oil
2022-12-12,73.17,294199.0,71.79,73.99,70.25,WTI Crude Oil
2022-12-09,71.02,324750.0,71.85,72.92,70.08,WTI Crude Oil
2022-12-08,71.46,440898.0,72.38,75.44,71.12,WTI Crude Oil
2022-12-07,72.01,360031.0,74.55,75.38,71.75,WTI Crude Oil
2022-12-06,74.25,359520.0,77.35,77.88,73.41,WTI Crude Oil
