Date,Close/Last,Open,High,Low,Name
2023-03-09,32254.86,32876.83,32990.46,32190.6,Dow Jones Industrial Average
2023-03-08,32798.4,32872.08,32903.44,32612.7,Dow Jones Industrial Average
2023-03-07,32856.46,33428.31,33453.25,32838.21,Dow Jones Industrial Average
2023-03-06,33431.44,33425.32,33572.22,33383.47,Dow Jones Industrial Average
2023-03-03,33390.97,33076.33,33405.82,33008.41,Dow Jones Industrial Average
2023-03-02,33003.57,32780.97,33083.45,32665.85,Dow Jones Industrial Average
2023-03-01,32661.84,32656.37,32746.15,32500.71,Dow Jones Industrial Average
2023-02-28,32656.7,32873.47,32873.47,32636.43,Dow Jones Industrial Average
2023-02-27,32889.09,32906.16,33189.28,32814.18,Dow Jones Industrial Average
2023-02-24,32816.92,32999.19,32999.19,32643.48,Dow Jones Industrial Average
2023-02-23,33153.91,33175.39,33272.4,32795.67,Dow Jones Industrial Average
2023-02-22,33045.09,33169.33,33245.97,32948.27,Dow Jones Industrial Average
2023-02-21,33129.59,33699.69,33699.69,33115.74,Dow Jones Industrial Average
2023-02-17,33826.69,33677.01,33846.64,33517.73,Dow Jones Industrial Average
2023-02-16,33696.85,33992.09,34041.16,33686.59,Dow Jones Industrial Average
2023-02-15,34128.05,34008.63,34130.49,33833.1,Dow Jones Industrial Average
2023-02-14,34089.27,34194.09,34331.47,33827.45,Dow Jones Industrial Average
2023-02-13,34245.93,33887.39,34249.6,33887.39,Dow Jones Industrial Average
2023-02-10,33869.27,33671.54,33897.31,33591.99,Dow Jones Industrial Average
2023-02-09,33699.88,34105.61,34252.57,33607.13,Dow Jones Industrial Average
2023-02-08,33949.01,34132.9,34161.65,33899.79,Dow Jones Industrial Average
2023-02-07,34156.69,33769.78,34240.0,33634.1,Dow Jones Industrial Average
2023-02-06,33891.02,33874.44,33962.84,33683.58,Dow Jones Industrial Average
2023-02-03,33926.01,33926.3,34179.58,33813.86,Dow Jones Industrial Average
2023-02-02,34053.94,34129.3,34145.14,33814.78,Dow Jones Industrial Average
2023-02-01,34092.96,34039.6,34334.7,33581.42,Dow Jones Industrial Average
2023-01-31,34086.04,33803.56,34095.23,33664.91,Dow Jones Industrial Average
2023-01-30,33717.09,33909.21,34055.29,33695.18,Dow Jones Industrial Average
2023-01-27,33978.08,33952.93,34164.33,33830.85,Dow Jones Industrial Average
2023-01-26,33949.41,33771.66,33953.79,33635.6,Dow Jones Industrial Average
2023-01-25,33743.84,33538.36,33773.09,33273.21,Dow Jones Industrial Average
2023-01-24,33733.96,33444.72,33782.92,33310.56,Dow Jones Industrial Average
2023-01-23,33629.56,33439.56,33782.88,33316.25,Dow Jones Industrial Average
2023-01-20,33375.49,33073.46,33381.95,32948.93,Dow Jones Industrial Average
2023-01-19,33044.56,33171.35,33227.49,32982.05,Dow Jones Industrial Average
2023-01-18,33296.96,33948.49,34016.53,33269.9,Dow Jones Industrial Average
2023-01-17,33910.85,34222.32,34269.97,33860.67,Dow Jones Industrial Average
2023-01-13,34302.61,34075.31,34342.32,33915.49,Dow Jones Industrial Average
2023-01-12,34189.97,34047.86,34292.67,33792.1,Dow Jones Industrial Average
2023-01-11,33973.01,33754.03,33974.69,33711.04,Dow Jones Industrial Average
2023-01-10,33704.1,33516.43,33726.54,33421.8,Dow Jones Industrial Average
2023-01-09,33517.65,33664.39,33935.11,33487.66,Dow Jones Industrial Average
2023-01-06,33630.61,33055.3,33710.66,32997.39,Dow Jones Industrial Average
2023-01-05,32930.08,33191.72,33191.72,32812.33,Dow Jones Industrial Average
2023-01-04,33269.77,33165.14,33409.1,33033.48,Dow Jones Industrial Average
2023-01-03,33136.37,33148.9,33387.52,32850.57,Dow Jones Industrial Average
2022-12-30,33147.25,33121.61,33152.55,32847.82,Dow Jones Industrial Average
2022-12-29,33220.8,33021.43,33293.42,33020.35,Dow Jones Industrial Average
2022-12-28,32875.71,33264.76,33379.55,32869.15,Dow Jones Industrial Average
2022-12-27,33241.56,33224.23,33387.72,33069.58,Dow Jones Industrial Average
2022-12-23,33203.93,32961.06,33226.14,32814.02,Dow Jones Industrial Average
2022-12-22,33027.49,33233.35,33233.35,32573.43,Dow Jones Industrial Average
2022-12-21,33376.48,33028.09,33437.84,33028.09,Dow Jones Industrial Average
