Date,Open,High,Low,Close,Adj Close,Volume,Name
2000-10-09,7.421875,7.5,7.3125,7.5,2.16118,1610800,Petroleo Brasileiro SA Petrobras
2000-10-10,7.46875,7.71875,7.453125,7.625,2.1972,4442000,Petroleo Brasileiro SA Petrobras
2000-10-11,7.65625,7.78125,7.578125,7.625,2.1972,4415200,Petroleo Brasileiro SA Petrobras
2000-10-12,7.6875,8.203125,7.65625,7.953125,2.29175,5707200,Petroleo Brasileiro SA Petrobras
2000-10-13,7.75,7.890625,7.65625,7.734375,2.228717,2770000,Petroleo Brasileiro SA Petrobras
2000-10-16,7.671875,7.671875,7.453125,7.5,2.16118,2358000,Petroleo Brasileiro SA Petrobras
2000-10-17,7.5,7.5,7.21875,7.265625,2.093643,2868000,Petroleo Brasileiro SA Petrobras
2000-10-18,7.09375,7.34375,7.0,7.34375,2.116155,9335600,Petroleo Brasileiro SA Petrobras
2000-10-19,7.359375,7.484375,7.3125,7.4375,2.14317,4136000,Petroleo Brasileiro SA Petrobras
2000-10-20,7.390625,7.40625,7.21875,7.28125,2.098145,3190000,Petroleo Brasileiro SA Petrobras
2000-10-23,7.171875,7.21875,6.984375,7.0,2.017102,2953200,Petroleo Brasileiro SA Petrobras
2000-10-24,6.9375,6.984375,6.640625,6.75,1.945062,6871200,Petroleo Brasileiro SA Petrobras
2000-10-25,6.546875,6.71875,6.5,6.578125,1.895535,4284000,Petroleo Brasileiro SA Petrobras
2000-10-26,6.515625,7.03125,6.515625,7.0,2.017102,4966400,Petroleo Brasileiro SA Petrobras
2000-10-27,7.015625,7.15625,6.96875,7.09375,2.044116,5050400,Petroleo Brasileiro SA Petrobras
2000-10-30,6.96875,7.328125,6.953125,7.1875,2.071131,2144800,Petroleo Brasileiro SA Petrobras
2000-10-31,7.359375,7.375,7.21875,7.265625,2.093643,2072400,Petroleo Brasileiro SA Petrobras
2000-11-01,7.1875,7.40625,7.1875,7.34375,2.116155,2196400,Petroleo Brasileiro SA Petrobras
2000-11-02,7.34375,7.46875,7.265625,7.265625,2.093643,613200,Petroleo Brasileiro SA Petrobras
2000-11-03,7.15625,7.25,7.03125,7.0625,2.03511,2234400,Petroleo Brasileiro SA Petrobras
2000-11-06,7.0625,7.234375,7.046875,7.140625,2.057623,898800,Petroleo Brasileiro SA Petrobras
2000-11-07,7.0625,7.3125,7.03125,7.265625,2.093643,1193200,Petroleo Brasileiro SA Petrobras
2000-11-08,7.359375,7.359375,7.125,7.125,2.053121,2472400,Petroleo Brasileiro SA Petrobras
2000-11-09,7.078125,7.125,6.9375,7.0,2.017102,3443200,Petroleo Brasileiro SA Petrobras
2000-11-10,6.953125,7.09375,6.921875,6.9375,1.999091,2756000,Petroleo Brasileiro SA Petrobras
2000-11-13,6.84375,7.03125,6.84375,6.984375,2.012599,3948400,Petroleo Brasileiro SA Petrobras
2000-11-14,7.078125,7.15625,7.046875,7.0625,2.03511,2870400,Petroleo Brasileiro SA Petrobras
2000-11-15,7.09375,7.125,7.0,7.109375,2.048618,1294400,Petroleo Brasileiro SA Petrobras
2000-11-16,7.0625,7.34375,7.0625,7.34375,2.116155,2372000,Petroleo Brasileiro SA Petrobras
2000-11-17,7.1875,7.34375,7.03125,7.078125,2.039613,2003600,Petroleo Brasileiro SA Petrobras
2000-11-20,7.0625,7.203125,7.015625,7.203125,2.075634,1155200,Petroleo Brasileiro SA Petrobras
2000-11-21,7.140625,7.390625,7.125,7.34375,2.116155,2858000,Petroleo Brasileiro SA Petrobras
2000-11-22,7.234375,7.3125,7.171875,7.1875,2.071131,3782000,Petroleo Brasileiro SA Petrobras
2000-11-24,6.921875,7.0,6.796875,6.90625,1.990087,1526400,Petroleo Brasileiro SA Petrobras
2000-11-27,6.84375,6.921875,6.625,6.71875,1.936057,4482800,Petroleo Brasileiro SA Petrobras
2000-11-28,6.703125,6.75,6.609375,6.65625,1.918047,3495600,Petroleo Brasileiro SA Petrobras
2000-11-29,6.6875,6.6875,6.59375,6.640625,1.913545,3479600,Petroleo Brasileiro SA Petrobras
2000-11-30,6.546875,6.625,6.390625,6.4375,1.855013,5722000,Petroleo Brasileiro SA Petrobras
2000-12-01,6.296875,6.5625,6.296875,6.5,1.873023,2557600,Petroleo Brasileiro SA Petrobras
2000-12-04,6.375,6.484375,6.3125,6.46875,1.864017,1984400,Petroleo Brasileiro SA Petrobras
2000-12-05,6.5625,6.671875,6.546875,6.59375,1.900037,2255600,Petroleo Brasileiro SA Petrobras
2000-12-06,6.53125,6.53125,6.03125,6.078125,1.751456,7922400,Petroleo Brasileiro SA Petrobras
2000-12-07,6.109375,6.171875,6.03125,6.15625,1.773969,3490400,Petroleo Brasileiro SA Petrobras
2000-12-08,6.234375,6.265625,6.125,6.171875,1.778471,8711600,Petroleo Brasileiro SA Petrobras
2000-12-11,6.3125,6.3125,6.0625,6.171875,1.778471,3858400,Petroleo Brasileiro SA Petrobras
2000-12-12,6.1875,6.1875,6.0625,6.09375,1.755959,3153200,Petroleo Brasileiro SA Petrobras
2000-12-13,6.125,6.390625,6.125,6.28125,1.809988,5368400,Petroleo Brasileiro SA Petrobras
2000-12-14,6.5,6.546875,6.421875,6.515625,1.877525,5382400,Petroleo Brasileiro SA Petrobras
2000-12-15,6.578125,6.578125,6.25,6.4375,1.855013,2762000,Petroleo Brasileiro SA Petrobras
2000-12-18,6.5,6.5,6.359375,6.421875,1.85051,1403600,Petroleo Brasileiro SA Petrobras
2000-12-19,6.359375,6.390625,6.296875,6.34375,1.827999,2298000,Petroleo Brasileiro SA Petrobras
2000-12-20,6.125,6.25,6.125,6.21875,1.791978,4764400,Petroleo Brasileiro SA Petrobras
2000-12-21,6.0625,6.234375,6.046875,6.15625,1.773969,4501600,Petroleo Brasileiro SA Petrobras
2000-12-22,6.21875,6.265625,6.125,6.21875,1.791978,3041600,Petroleo Brasileiro SA Petrobras
2000-12-26,6.21875,6.234375,6.0,6.125,1.764963,3395600,Petroleo Brasileiro SA Petrobras
2000-12-27,6.140625,6.15625,6.03125,6.140625,1.769466,4597200,Petroleo Brasileiro SA Petrobras
2000-12-28,6.15625,6.296875,6.140625,6.296875,1.814491,4428400,Petroleo Brasileiro SA Petrobras
2000-12-29,6.359375,6.375,6.1875,6.3125,1.818993,2417200,Petroleo Brasileiro SA Petrobras
2001-01-02,6.40625,6.46875,6.375,6.4375,1.855013,4485200,Petroleo Brasileiro SA Petrobras
2001-01-03,6.453125,6.90625,6.421875,6.90625,1.990087,4673600,Petroleo Brasileiro SA Petrobras
2001-01-04,6.90625,6.9375,6.796875,6.828125,1.967574,5982400,Petroleo Brasileiro SA Petrobras
2001-01-05,6.9375,6.9375,6.640625,6.703125,1.931554,1979200,Petroleo Brasileiro SA Petrobras
2001-01-08,6.6875,6.75,6.515625,6.734375,1.94056,1747600,Petroleo Brasileiro SA Petrobras
2001-01-09,6.8125,6.859375,6.734375,6.8125,1.963071,1227600,Petroleo Brasileiro SA Petrobras
2001-01-10,6.703125,6.859375,6.703125,6.859375,1.976579,2758400,Petroleo Brasileiro SA Petrobras
2001-01-11,6.828125,6.875,6.796875,6.875,1.981081,1554000,Petroleo Brasileiro SA Petrobras
2001-01-12,6.90625,7.03125,6.875,6.984375,2.012599,5169200,Petroleo Brasileiro SA Petrobras
2001-01-16,6.984375,7.3125,6.96875,7.296875,2.102648,9261200,Petroleo Brasileiro SA Petrobras
2001-01-17,7.34375,7.625,7.296875,7.3125,2.107151,8965600,Petroleo Brasileiro SA Petrobras
2001-01-18,7.296875,7.515625,7.28125,7.46875,2.152176,4100000,Petroleo Brasileiro SA Petrobras
2001-01-19,7.484375,7.484375,7.3125,7.34375,2.116155,3832400,Petroleo Brasileiro SA Petrobras
2001-01-22,7.34375,7.34375,7.1875,7.25,2.089141,1472000,Petroleo Brasileiro SA Petrobras
2001-01-23,7.25,7.34375,7.25,7.28125,2.098145,2137200,Petroleo Brasileiro SA Petrobras
2001-01-24,7.296875,7.296875,6.953125,6.96875,2.008096,3751600,Petroleo Brasileiro SA Petrobras
2001-01-25,7.0625,7.0625,6.890625,6.9375,1.999091,6723200,Petroleo Brasileiro SA Petrobras
2001-01-26,7.078125,7.078125,6.859375,6.9375,1.999091,3462000,Petroleo Brasileiro SA Petrobras
2001-01-29,6.905,6.9475,6.875,6.93,1.996931,2103600,Petroleo Brasileiro SA Petrobras
2001-01-30,6.8625,7.125,6.8625,7.08,2.040154,1544000,Petroleo Brasileiro SA Petrobras
2001-01-31,7.0625,7.0925,7.0025,7.07,2.037273,2807200,Petroleo Brasileiro SA Petrobras
2001-02-01,6.9875,6.99,6.8775,6.89,1.985403,1158800,Petroleo Brasileiro SA Petrobras
2001-02-02,6.9375,6.9375,6.85,6.855,1.975319,1832800,Petroleo Brasileiro SA Petrobras
2001-02-05,6.825,6.925,6.75,6.85,1.973877,1951200,Petroleo Brasileiro SA Petrobras
2001-02-06,6.9,6.9625,6.825,6.895,1.986845,944400,Petroleo Brasileiro SA Petrobras
2001-02-07,6.8125,6.9325,6.8125,6.9325,1.997651,2239600,Petroleo Brasileiro SA Petrobras
2001-02-08,7.0,7.175,6.9975,7.0925,2.043755,1375200,Petroleo Brasileiro SA Petrobras
2001-02-09,7.0625,7.25,7.03,7.225,2.081937,2858000,Petroleo Brasileiro SA Petrobras
2001-02-12,7.275,7.3375,7.1275,7.2025,2.075453,1534800,Petroleo Brasileiro SA Petrobras
2001-02-13,7.175,7.4125,7.175,7.34,2.115074,3938800,Petroleo Brasileiro SA Petrobras
2001-02-14,7.3425,7.55,7.3,7.515,2.165502,4476400,Petroleo Brasileiro SA Petrobras
2001-02-15,7.4625,7.475,7.4125,7.4125,2.135966,2663600,Petroleo Brasileiro SA Petrobras
2001-02-16,7.2125,7.405,7.2125,7.3975,2.131643,3854000,Petroleo Brasileiro SA Petrobras
2001-02-20,7.125,7.25,7.125,7.2375,2.085539,10009600,Petroleo Brasileiro SA Petrobras
2001-02-21,7.125,7.125,6.975,7.0,2.017102,3223600,Petroleo Brasileiro SA Petrobras
2001-02-22,6.9875,7.1,6.9375,7.045,2.030068,4336800,Petroleo Brasileiro SA Petrobras
2001-02-23,7.02,7.18,6.9075,7.18,2.068969,1638400,Petroleo Brasileiro SA Petrobras
2001-02-26,7.175,7.475,7.175,7.425,2.139568,1047200,Petroleo Brasileiro SA Petrobras
2001-02-27,7.125,7.4825,7.125,7.38,2.126601,1512800,Petroleo Brasileiro SA Petrobras
2001-02-28,7.4,7.4,7.0025,7.1325,2.055282,3392800,Petroleo Brasileiro SA Petrobras
2001-03-01,7.07,7.2,7.025,7.1875,2.071131,2425200,Petroleo Brasileiro SA Petrobras
2001-03-02,7.185,7.3125,7.05,7.295,2.102108,36326000,Petroleo Brasileiro SA Petrobras
2001-03-05,7.2975,7.2975,7.2,7.2575,2.091302,638400,Petroleo Brasileiro SA Petrobras
2001-03-06,7.2925,7.3625,7.17,7.255,2.090581,1480800,Petroleo Brasileiro SA Petrobras
2001-03-07,7.275,7.2925,7.225,7.2625,2.092742,1121600,Petroleo Brasileiro SA Petrobras
2001-03-08,7.2575,7.4125,7.2475,7.2875,2.099947,3646400,Petroleo Brasileiro SA Petrobras
2001-03-09,7.2375,7.3125,7.1625,7.2875,2.099947,3542000,Petroleo Brasileiro SA Petrobras
2001-03-12,7.25,7.25,7.0,7.0,2.017102,1652000,Petroleo Brasileiro SA Petrobras
2001-03-13,7.0,7.05,6.95,7.0375,2.027907,3672400,Petroleo Brasileiro SA Petrobras
2001-03-14,6.6875,6.9875,6.6875,6.875,1.981081,4394400,Petroleo Brasileiro SA Petrobras
2001-03-15,6.675,6.7125,6.35,6.4,1.844207,7105600,Petroleo Brasileiro SA Petrobras
2001-03-16,6.225,6.63,6.1875,6.56,1.890312,9371600,Petroleo Brasileiro SA Petrobras
2001-03-19,6.4375,6.55,6.3375,6.4775,1.866539,6456000,Petroleo Brasileiro SA Petrobras
2001-03-20,6.375,6.5875,6.335,6.53,1.881667,6086000,Petroleo Brasileiro SA Petrobras
2001-03-21,6.35,6.375,6.175,6.2625,1.892927,6921200,Petroleo Brasileiro SA Petrobras
2001-03-22,6.0,6.075,5.8575,5.925,1.790913,8450000,Petroleo Brasileiro SA Petrobras
2001-03-23,5.9,5.9,5.575,5.8,1.75313,13124400,Petroleo Brasileiro SA Petrobras
2001-03-26,6.075,6.1125,5.9525,6.105,1.84532,4019200,Petroleo Brasileiro SA Petrobras
2001-03-27,6.1125,6.275,6.1125,6.275,1.896705,3975600,Petroleo Brasileiro SA Petrobras
2001-03-28,6.25,6.2525,6.075,6.1275,1.852121,1973200,Petroleo Brasileiro SA Petrobras
2001-03-29,6.1125,6.12,5.84,5.8875,1.779577,2644800,Petroleo Brasileiro SA Petrobras
2001-03-30,5.875,6.0,5.7,5.95,1.798469,3025600,Petroleo Brasileiro SA Petrobras
2001-04-02,5.925,5.925,5.72,5.725,1.73046,2530400,Petroleo Brasileiro SA Petrobras
2001-04-03,5.75,5.75,5.675,5.7,1.722903,2024000,Petroleo Brasileiro SA Petrobras
2001-04-04,5.825,5.9825,5.7,5.825,1.760687,1977600,Petroleo Brasileiro SA Petrobras
2001-04-05,6.125,6.2875,6.0625,6.275,1.896705,3377600,Petroleo Brasileiro SA Petrobras
2001-04-06,6.45,6.45,6.265,6.405,1.936,2994800,Petroleo Brasileiro SA Petrobras
2001-04-09,6.4675,6.4675,6.3675,6.435,1.945067,1568400,Petroleo Brasileiro SA Petrobras
2001-04-10,6.45,6.6,6.45,6.4525,1.950357,3004000,Petroleo Brasileiro SA Petrobras
2001-04-11,6.5,6.525,6.275,6.3125,1.90804,2570000,Petroleo Brasileiro SA Petrobras
2001-04-12,6.25,6.2525,6.0275,6.1625,1.8627,5829200,Petroleo Brasileiro SA Petrobras
2001-04-16,6.225,6.225,5.9975,6.02,1.819627,3740400,Petroleo Brasileiro SA Petrobras
2001-04-17,6.175,6.175,6.0225,6.085,1.839275,34888800,Petroleo Brasileiro SA Petrobras
2001-04-18,6.25,6.425,6.0925,6.3875,1.93071,4412800,Petroleo Brasileiro SA Petrobras
2001-04-19,6.2625,6.4,6.175,6.2275,1.882347,2996000,Petroleo Brasileiro SA Petrobras
2001-04-20,6.0,6.0475,5.8525,5.8725,1.775044,5630000,Petroleo Brasileiro SA Petrobras
