Date,Open,High,Low,Close,Adj Close,Volume,Name
2000-01-03,34.0,34.0625,33.1875,33.25,10.545332,773600,TotalEnergies SE
2000-01-04,32.875,33.0,32.25,32.28125,10.238091,1086200,TotalEnergies SE
2000-01-05,32.28125,32.53125,32.03125,32.28125,10.238091,1063800,TotalEnergies SE
2000-01-06,31.9375,31.9375,31.21875,31.5625,10.010141,2465200,TotalEnergies SE
2000-01-07,31.46875,31.5,30.5625,31.46875,9.980403,2720200,TotalEnergies SE
2000-01-10,31.46875,31.5,31.0625,31.125,9.871386,720600,TotalEnergies SE
2000-01-11,30.9375,31.4375,30.8125,31.375,9.950669,910400,TotalEnergies SE
2000-01-12,31.125,31.1875,30.65625,30.875,9.792097,794000,TotalEnergies SE
2000-01-13,30.78125,30.875,30.5625,30.625,9.712806,797800,TotalEnergies SE
2000-01-14,31.25,31.4375,30.8125,31.0625,9.85156,553800,TotalEnergies SE
2000-01-18,30.96875,31.875,30.78125,31.5,9.990315,1336000,TotalEnergies SE
2000-01-19,32.5,32.5,31.90625,32.0625,10.168715,1028800,TotalEnergies SE
2000-01-20,32.8125,33.03125,32.375,32.75,10.386756,1032800,TotalEnergies SE
2000-01-21,33.28125,33.40625,33.0,33.09375,10.495777,1278000,TotalEnergies SE
2000-01-24,34.125,34.25,33.5,33.5,10.624624,688000,TotalEnergies SE
2000-01-25,33.625,33.71875,32.96875,33.03125,10.475958,1478200,TotalEnergies SE
2000-01-26,33.25,33.375,32.4375,32.5,10.307467,276400,TotalEnergies SE
2000-01-27,32.125,32.8125,31.75,31.78125,10.079516,1179000,TotalEnergies SE
2000-01-28,31.75,31.9375,30.65625,31.03125,9.841651,1687600,TotalEnergies SE
2000-01-31,31.15625,31.40625,30.875,31.125,9.871386,1755600,TotalEnergies SE
2000-02-01,31.125,32.0625,31.03125,32.03125,10.158807,1184200,TotalEnergies SE
2000-02-02,32.1875,32.8125,32.125,32.3125,10.247999,897600,TotalEnergies SE
2000-02-03,32.5,33.03125,32.3125,32.90625,10.436316,1134200,TotalEnergies SE
2000-02-04,33.4375,33.75,32.75,32.78125,10.396669,1131200,TotalEnergies SE
2000-02-07,33.78125,33.8125,32.96875,33.25,10.545332,540000,TotalEnergies SE
2000-02-08,35.875,35.96875,34.84375,35.0,11.100349,2139800,TotalEnergies SE
2000-02-09,36.25,36.46875,35.71875,35.75,11.338212,1839600,TotalEnergies SE
2000-02-10,34.875,35.21875,34.53125,35.09375,11.130084,1253200,TotalEnergies SE
2000-02-11,33.6875,33.96875,32.9375,33.3125,10.565156,1223400,TotalEnergies SE
2000-02-14,32.625,33.34375,32.53125,33.21875,10.535419,687600,TotalEnergies SE
2000-02-15,33.78125,34.46875,33.5,34.375,10.902132,1745200,TotalEnergies SE
2000-02-16,35.25,35.25,34.84375,34.875,11.060707,718200,TotalEnergies SE
2000-02-17,35.5,35.78125,35.03125,35.3125,11.199459,608800,TotalEnergies SE
2000-02-18,34.75,34.96875,34.4375,34.5,10.941776,569800,TotalEnergies SE
2000-02-22,34.0,34.75,33.90625,34.65625,10.991328,1067200,TotalEnergies SE
2000-02-23,33.46875,34.0625,33.25,33.8125,10.723733,489800,TotalEnergies SE
2000-02-24,33.5,33.75,33.125,33.75,10.703906,1077200,TotalEnergies SE
2000-02-25,33.625,34.125,33.59375,33.875,10.743551,1048000,TotalEnergies SE
2000-02-28,32.96875,33.5625,32.9375,33.5,10.624624,2845000,TotalEnergies SE
2000-02-29,33.5625,33.625,33.03125,33.5625,10.644444,1289600,TotalEnergies SE
2000-03-01,33.1875,34.375,33.0,34.28125,10.872396,902600,TotalEnergies SE
