Date,XOM_Open,XOM_Close,XOM_High,XOM_Low,XOM_Adj_Close,XOM_Volume,BZ_Open,BZ_Close,BZ_High,BZ_Low,BZ_Volume,CL_Open,CL_Close,CL_High,CL_Low,CL_Volume,CVX_Open,CVX_Close,CVX_High,CVX_Low,CVX_Adj_Close,CVX_Volume,DJIA_Open,DJIA_Close,DJIA_High,DJIA_Low,PBR_Open,PBR_Close,PBR_High,PBR_Low,PBR_Adj_Close,PBR_Volume,SHEL_Open,SHEL_Close,SHEL_High,SHEL_Low,SHEL_Adj_Close,SHEL_Volume,SPX_Open,SPX_Close,SPX_High,SPX_Low,TTE_Open,TTE_Close,TTE_High,TTE_Low,TTE_Adj_Close,TTE_Volume,USDEUR_Open,USDEUR_Close,USDEUR_High,USDEUR_Low,USDEUR_Adj_Close,USDI_Price,USDI_Open,USDI_High,USDI_Low,USO_Open,USO_Close,USO_High,USO_Low,USO_Adj_Close,USO_Volume
2013-03-11,89.01,89.16,89.55,88.54,58.3023,12454800,110.51,110.22,110.66,109.54,2365,91.83,92.06,92.15,90.89,168461,118.63,118.73,118.8,118.1,78.4329,4528400,14397.1,14447.3,14448.1,14373.3,16.85,17.1,17.16,16.77,7.93682,16853600,66.13,66.15,66.33,65.98,38.5411,4296940,1551.15,1556.22,1556.27,1547.36,50.95,51.44,51.44,50.88,28.2586,1093600,0.7699,0.76994,0.7701,0.7678,0.76994,82.57,82.78,82.83,82.52,262.88,264.32,265.2,261.6,264.32,249738
2013-03-12,89.45,89.16,89.91,89.01,58.3023,11470000,110.13,109.65,111.18,109.32,2362,91.94,92.54,93.47,91.6,261640,118.88,118.25,119.3,118.16,78.1159,4625000,14447.3,14450.1,14478.8,14412.1,17.69,17.38,17.71,17.14,8.06678,15522500,66.23,65.98,66.2643,65.98,38.442,3447530,1556.22,1552.48,1556.77,1548.24,51.34,51.34,51.62,51.19,28.2036,1376400,0.76732,0.7673,0.769598,0.764935,0.7673,82.58,82.66,82.79,82.41,267.68,266.08,268.8,265.76,266.08,424188
2013-03-13,89.02,89.26,89.5,88.83,58.3677,10539900,109.71,108.52,109.82,108.32,950,92.62,92.52,93.4,91.91,229991,118.38,118.36,118.7,118.06,78.1885,5393300,14450.1,14455.3,14472.8,14411.7,17.58,17.2,17.6,17.12,7.98323,16166900,65.96,65.93,66.02,65.715,38.4129,2085590,1552.48,1554.52,1556.39,1548.25,50.21,50.22,50.37,49.91,28.0289,1075900,0.7675,0.7675,0.77369,0.7654,0.7675,82.89,82.6,83.06,82.33,268,265.52,268.48,264.24,265.52,422175
2013-03-14,89.41,89.83,89.91,89.41,58.7404,13775500,108.6,109.42,109.94,108.6,69,92.51,93.03,93.18,92.01,155443,118.73,120,120.26,118.6,79.2719,7476700,14455.3,14539.1,14539.3,14455.3,17.3,17.4,17.48,17.04,8.07606,17280500,66.23,66.58,66.77,66.15,38.7916,3368180,1554.52,1563.23,1563.32,1554.52,50.49,50.84,50.84,50.24,28.375,1036600,0.7717,0.7717,0.774425,0.77041,0.7717,82.61,82.9,83.17,82.43,266.08,267.36,267.84,265.84,267.36,262925
2013-03-15,89.2,89.37,89.61,88.79,58.4397,29240100,109.37,109.82,110.52,109.05,3356,93.15,93.45,93.84,93,153777,119.59,119.68,119.92,118.91,79.0605,10215600,14539.1,14514.1,14539.1,14470.5,17.53,17.81,17.85,17.37,8.26636,23910300,65.94,66.2,66.23,65.8,38.5702,3118720,1563.21,1560.7,1563.62,1555.74,50.56,50.81,50.81,50.29,28.3582,1251300,0.7685,0.7685,0.769,0.76312,0.7685,82.13,82.54,82.61,82.05,268.88,268.8,269.2,267.36,268.8,311300
2013-03-18,88.74,88.77,89.39,88.55,58.0473,11553700,109.84,109.51,109.84,107.78,2315,93.26,93.74,93.93,91.76,138042,118.78,119.13,119.9,118.7,78.6972,4828700,14514.1,14452.1,14521.6,14404.2,17.4,17.79,17.91,17.37,8.25707,23632800,65.36,65.57,65.905,65.36,38.2031,1792820,1560.7,1552.1,1560.7,1545.13,49.76,50,50.44,49.73,27.9062,1561200,0.7753,0.77563,0.77625,0.770796,0.77563,82.69,82.6,82.88,82.44,264.32,269.2,270,264,269.2,433938
2013-03-19,88.89,88.58,89.09,88.02,57.9231,11987900,109.26,107.45,109.41,107.28,3318,93.8,92.16,94.09,92.03,70663,119.39,119.46,119.81,118.65,78.9152,5244200,14452.1,14455.8,14514.3,14382.1,17.73,17.55,17.93,17.23,8.14568,18043600,65.87,65.62,65.87,65.22,38.2323,2543750,1552.1,1548.34,1557.25,1538.57,49.94,49.85,50.04,49.31,27.8224,1721500,0.7725,0.7725,0.7758,0.7713,0.7725,82.99,82.71,83.1,82.62,269.52,264.56,269.84,264.4,264.56,818438
2013-03-20,88.95,88.63,89.21,88.3,57.9558,11319000,107.61,108.72,108.89,107.61,2687,92.09,92.96,93.3,92.09,20482,119.98,120.35,120.88,119.86,79.5031,5945300,14455.8,14511.7,14546.8,14455.8,17.47,17.2,17.54,17.18,7.98323,13623700,65.96,65.93,66.09,65.63,38.4129,2444620,1552.71,1558.71,1561.56,1552.71,50.3,50.22,50.48,49.92,28.0289,809600,0.7773,0.77737,0.7773,0.770873,0.77737,82.78,83.03,83.03,82.57,267.44,267.6,268,264.8,267.6,562763
2013-03-21,88.12,88.17,88.64,87.9,57.6549,13447500,108.54,107.47,108.76,107.1,3478,93.4,92.45,93.53,91.84,5042,120,120.34,120.99,119.81,79.4965,6168500,14511.7,14421.5,14511.7,14383,17.19,16.88,17.25,16.86,7.8347,11411100,65.04,65.31,65.63,65.04,38.0517,3873410,1558.71,1545.8,1558.71,1543.55,49.45,49.42,49.89,49.33,27.5824,2791400,0.7728,0.7727,0.776096,0.7718,0.7727,82.74,82.88,83.02,82.68,265.84,264.4,267.44,262.96,264.4,538550
2013-03-22,88.4,89.29,89.29,88.32,58.3873,10786600,107.36,107.66,107.95,106.91,2540,92.33,93.71,93.93,92.33,190513,120.66,121.18,121.4,120.48,80.0514,5190700,14421.5,14512,14520,14421.5,16.89,16.85,17,16.77,7.82078,8699500,65.59,65.72,66.15,65.4,38.2906,3872620,1545.9,1556.89,1557.74,1545.9,49.61,49.6,49.97,49.44,27.6829,1733400,0.7749,0.7749,0.7758,0.769,0.7749,82.53,82.81,82.83,82.29,266.48,268.88,268.88,264.96,268.88,390075
2013-03-25,89.5,89.02,89.9,88.66,58.2108,12900800,107.45,108.17,109.03,107.29,3038,93.72,94.81,95.65,93.7,258045,121.5,120.18,121.56,119.56,79.3908,6345300,14512,14447.8,14563.8,14395,16.88,16.75,17,16.64,7.77437,9867500,65.41,64.87,65.61,64.75,37.7953,2767770,1556.89,1551.69,1564.91,1546.22,49.8,48.81,49.85,48.56,27.242,2150400,0.7678,0.76781,0.77716,0.7664,0.76781,82.83,82.52,82.95,82.15,271.12,270.8,273.84,269.2,270.8,814038
